Date,Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F)
10/21/13,42,50,34
10/22/13,39,47,31
10/23/13,37.5,44,31
10/24/13,39,44,34
10/25/13,41.5,51,32
10/26/13,48,54,42
10/27/13,44.5,54,35
10/28/13,41,45,37
10/29/13,43.5,50,37
10/30/13,52,64,40
10/31/13,54.5,63,46
11/1/13,46,48,44
11/2/13,43.5,48,39
11/3/13,41.5,51,32
11/4/13,50,54,46
11/5/13,52,56,48
11/6/13,45.5,57,34
11/7/13,38.5,43,34
11/8/13,36.5,47,26
11/9/13,48.5,55,42
11/10/13,44,49,39
11/11/13,35.5,46,25
11/12/13,27,32,22
11/13/13,31,41,21
11/14/13,40,48,32
11/15/13,46.5,54,39
11/16/13,49,60,38
11/17/13,53.5,65,42
11/18/13,35.5,42,29
11/19/13,31,37,25
11/20/13,37.5,43,32
11/21/13,43,47,39
11/22/13,35,42,28
11/23/13,21,28,14
11/24/13,18.5,26,11
11/25/13,26.5,31,22
11/26/13,25,33,17
11/27/13,20.5,28,13
11/28/13,25,29,21
11/29/13,24.5,33,16
11/30/13,36,47,25
12/1/13,33.5,39,28
12/2/13,33,41,25
12/3/13,38,41,35
12/4/13,46,53,39
12/5/13,28.5,39,18
12/6/13,14,18,10
12/7/13,10.5,17,4
12/8/13,19.5,28,11
12/9/13,13,26,0
12/10/13,8,20,-4
12/11/13,9,18,0
12/12/13,8,18,-2
12/13/13,22.5,29,16
12/14/13,25,29,21
12/15/13,13,22,4
12/16/13,9.5,19,0
12/17/13,24.5,34,15
12/18/13,24,34,14
12/19/13,30,35,25
12/20/13,30.5,33,28
12/21/13,30.5,34,27
12/22/13,26.5,32,21
12/23/13,12.5,22,3
12/24/13,11,20,2
12/25/13,19.5,24,15
12/26/13,21,28,14
12/27/13,27,39,15
12/28/13,33.5,42,25
12/29/13,22,40,4
12/30/13,1,7,-5
12/31/13,6,10,2
1/1/14,12,19,5
1/2/14,11,19,3
1/3/14,7.5,19,-4
1/4/14,21.5,30,13
1/5/14,9,22,-4
1/6/14,-8.5,-4,-13
1/7/14,-6.5,1,-14
1/8/14,2.5,11,-6
1/9/14,8,25,-9
1/10/14,31.5,39,24
1/11/14,34,38,30
1/12/14,33,40,26
1/13/14,35.5,44,27
1/14/14,27,35,19
1/15/14,15.5,19,12
1/16/14,25.5,33,18
1/17/14,16,22,10
1/18/14,16,24,8
1/19/14,22.5,34,11
1/20/14,19.5,33,6
1/21/14,5,10,0
1/22/14,7,14,0
1/23/14,3.5,11,-4
1/24/14,10.5,28,-7
1/25/14,17.5,30,5
1/26/14,15.5,26,5
1/27/14,-1,6,-8
1/28/14,-5,2,-12
1/29/14,10,22,-2
1/30/14,26,31,21
1/31/14,15.5,21,10
2/1/14,19,23,15
2/2/14,10.5,20,1
2/3/14,8.5,20,-3
2/4/14,16.5,25,8
2/5/14,17,25,9
2/6/14,5,10,0
2/7/14,5,13,-3
2/8/14,8,14,2
2/9/14,12.5,20,5
2/10/14,4,10,-2
2/11/14,6,14,-2
2/12/14,12,22,2
2/13/14,25.5,30,21
2/14/14,18.5,24,13
2/15/14,13.5,22,5
2/16/14,21,24,18
2/17/14,24,26,22
2/18/14,31.5,47,16
2/19/14,37,46,28
2/20/14,37.5,42,33
2/21/14,29,37,21
2/22/14,24.5,31,18
2/23/14,19,26,12
2/24/14,16.5,23,10
2/25/14,12,19,5
2/26/14,7.5,15,0
2/27/14,7.5,15,0
2/28/14,12,26,-2
3/1/14,15.5,23,8
3/2/14,6,10,2
3/3/14,8.5,18,-1
3/4/14,16.5,23,10
3/5/14,17.5,19,16
3/6/14,19.5,24,15
3/7/14,30.5,44,17
3/8/14,26,33,19
3/9/14,29.5,41,18
3/10/14,47,55,39
3/11/14,41,49,33
3/12/14,25,33,17
3/13/14,26,38,14
3/14/14,45.5,53,38
3/15/14,30.5,39,22
3/16/14,19,22,16
3/17/14,24.5,32,17
3/18/14,35,41,29
3/19/14,37,40,34
3/20/14,36.5,45,28
3/21/14,33.5,41,26
3/22/14,31,39,23
3/23/14,22.5,29,16
3/24/14,26.5,35,18
3/25/14,22,27,17
3/26/14,26.5,38,15
3/27/14,42,49,35
3/28/14,41,50,32
3/29/14,33,38,28
3/30/14,36.5,52,21
3/31/14,46,58,34
4/1/14,41.5,53,30
4/2/14,33,38,28
4/3/14,35,37,33
4/4/14,37,42,32
4/5/14,39.5,49,30
4/6/14,44.5,56,33
4/7/14,43.5,53,34
4/8/14,48.5,58,39
4/9/14,46,62,30
4/10/14,55,65,45
4/11/14,50.5,67,34
4/12/14,44,50,38
4/13/14,45,53,37
4/14/14,33.5,39,28
4/15/14,29,35,23
4/16/14,34.5,45,24
4/17/14,47.5,56,39
4/18/14,39,44,34
4/19/14,43.5,53,34
4/20/14,60.5,75,46
4/21/14,65,73,57
4/22/14,46,57,35
4/23/14,39,45,33
4/24/14,44.5,52,37
4/25/14,54,67,41
4/26/14,41,45,37
4/27/14,43,47,39
4/28/14,42.5,45,40
4/29/14,45,52,38
4/30/14,48.5,55,42
5/1/14,45,50,40
5/2/14,49.5,52,47
5/3/14,55,64,46
5/4/14,48,55,41
5/5/14,42,45,39
5/6/14,44.5,51,38
5/7/14,47.5,52,43
5/8/14,63,81,45
5/9/14,63,73,53
5/10/14,56.5,67,46
5/11/14,64.5,80,49
5/12/14,66.5,81,52
5/13/14,59,66,52
5/14/14,48.5,54,43
5/15/14,45,54,36
5/16/14,42,48,36
5/17/14,51.5,61,42
5/18/14,59.5,71,48
5/19/14,56.5,65,48
5/20/14,66.5,84,49
5/21/14,68,86,50
5/22/14,55.5,62,49
5/23/14,53,62,44
5/24/14,57.5,69,46
5/25/14,61,73,49
5/26/14,73,85,61
5/27/14,65.5,79,52
5/28/14,55,60,50
5/29/14,57,67,47
5/30/14,62,74,50
5/31/14,66.5,79,54
6/1/14,73.5,84,63
6/2/14,75,82,68
6/3/14,68.5,78,59
6/4/14,60,68,52
6/5/14,61,73,49
6/6/14,67.5,77,58
6/7/14,65.5,78,53
6/8/14,58.5,64,53
6/9/14,58,66,50
6/10/14,55.5,60,51
6/11/14,53.5,56,51
6/12/14,66,80,52
6/13/14,62.5,72,53
6/14/14,59.5,70,49
6/15/14,69.5,83,56
6/16/14,75,86,64
6/17/14,76.5,86,67
6/18/14,64,74,54
6/19/14,60,67,53
6/20/14,65,76,54
6/21/14,62,70,54
6/22/14,61,68,54
6/23/14,64.5,74,55
6/24/14,68,80,56
6/25/14,57.5,61,54
6/26/14,60.5,68,53
6/27/14,64,75,53
6/28/14,73,82,64
6/29/14,76.5,84,69
6/30/14,77,87,67
7/1/14,73,80,66
7/2/14,59.5,66,53
7/3/14,65,73,57
7/4/14,64,72,56
7/5/14,67,78,56
7/6/14,72,82,62
7/7/14,79.5,86,73
7/8/14,73.5,81,66
7/9/14,65.5,75,56
7/10/14,64,71,57
7/11/14,69.5,80,59
7/12/14,72,77,67
7/13/14,74.5,84,65
7/14/14,69,79,59
7/15/14,61.5,69,54
7/16/14,63,71,55
7/17/14,66.5,75,58
7/18/14,65.5,74,57
7/19/14,67,77,57
7/20/14,69.5,80,59
7/21/14,74,84,64
7/22/14,76,89,63
7/23/14,63,69,57
7/24/14,63,71,55
7/25/14,67,75,59
7/26/14,72.5,82,63
7/27/14,73,84,62
7/28/14,61,66,56
7/29/14,69,79,59
7/30/14,64,69,59
7/31/14,71.5,83,60
8/1/14,71,83,59
8/2/14,67.5,79,56
8/3/14,73.5,85,62
8/4/14,68,72,64
8/5/14,67.5,74,61
8/6/14,66.5,75,58
8/7/14,67,75,59
8/8/14,69.5,77,62
8/9/14,70,75,65
8/10/14,69,75,63
8/11/14,71,78,64
8/12/14,64,69,59
8/13/14,67,76,58
8/14/14,62,68,56
8/15/14,67.5,79,56
8/16/14,73.5,85,62
8/17/14,64,67,61
8/18/14,69.5,79,60
8/19/14,74,83,65
8/20/14,73.5,81,66
8/21/14,71,77,65
8/22/14,76,83,69
8/23/14,71.5,75,68
8/24/14,73.5,77,70
8/25/14,76,81,71
8/26/14,72.5,79,66
8/27/14,67.5,73,62
8/28/14,65.5,71,60
8/29/14,75,82,68
8/30/14,74,79,69
8/31/14,71,78,64
9/1/14,75.5,82,69
9/2/14,71,80,62
9/3/14,71,81,61
9/4/14,76.5,85,68
9/5/14,72.5,82,63
9/6/14,66,75,57
9/7/14,65.5,76,55
9/8/14,66,74,58
9/9/14,69.5,78,61
9/10/14,65.5,80,51
9/11/14,49,51,47
9/12/14,46,50,42
9/13/14,49,57,41
9/14/14,55,64,46
9/15/14,52.5,57,48
9/16/14,54.5,65,44
9/17/14,57.5,67,48
9/18/14,55,59,51
9/19/14,62,73,51
9/20/14,70.5,78,63
9/21/14,55.5,63,48
9/22/14,55,68,42
9/23/14,63,73,53
9/24/14,60.5,70,51
9/25/14,63.5,72,55
9/26/14,62.5,70,55
9/27/14,63,72,54
9/28/14,63.5,73,54
9/29/14,65.5,82,49
9/30/14,49.5,54,45
10/1/14,58,64,52
10/2/14,68.5,76,61
10/3/14,55,66,44
10/4/14,43,47,39
10/5/14,45,55,35
10/6/14,52,58,46
10/7/14,56,65,47
10/8/14,54,65,43
10/9/14,49,58,40
10/10/14,47,54,40
10/11/14,47.5,60,35
10/12/14,48,58,38
10/13/14,60,66,54
10/14/14,57.5,64,51
10/15/14,53,56,50
10/16/14,53.5,57,50
10/17/14,54,61,47
10/18/14,41.5,48,35
10/19/14,45.5,56,35
10/20/14,54,60,48
10/21/14,44.5,49,40
10/22/14,43,52,34
10/23/14,45.5,58,33
10/24/14,56,62,50
10/25/14,60.5,69,52
10/26/14,50,59,41
10/27/14,63.5,75,52
10/28/14,57.5,67,48
10/29/14,42.5,49,36
10/30/14,41.5,51,32
10/31/14,39,45,33
11/1/14,34.5,42,27
11/2/14,38,52,24
11/3/14,52,62,42
11/4/14,51,59,43
11/5/14,45,54,36
11/6/14,43.5,50,37
11/7/14,39,45,33
11/8/14,41.5,46,37
11/9/14,42,50,34
11/10/14,47.5,56,39
11/11/14,39.5,50,29
11/12/14,27,31,23
11/13/14,27,31,23
11/14/14,23,28,18
11/15/14,22.5,30,15
11/16/14,23,30,16
11/17/14,14.5,19,10
11/18/14,15,20,10
11/19/14,22.5,28,17
11/20/14,19.5,25,14
11/21/14,21,33,9
11/22/14,40.5,48,33
11/23/14,48,50,46
11/24/14,35.5,47,24
11/25/14,23,27,19
11/26/14,22.5,31,14
11/27/14,19,24,14
11/28/14,23.5,33,14
11/29/14,39.5,48,31
11/30/14,33.5,47,20
12/1/14,18,24,12
12/2/14,29.5,35,24
12/3/14,29,35,23
12/4/14,27.5,35,20
12/5/14,35,39,31
12/6/14,32,38,26
12/7/14,34,38,30
12/8/14,34.5,36,33
12/9/14,33,37,29
12/10/14,27.5,31,24
12/11/14,27,33,21
12/12/14,30,36,24
12/13/14,40,47,33
12/14/14,46.5,49,44
12/15/14,44.5,48,41
12/16/14,36.5,44,29
12/17/14,25,29,21
12/18/14,24,29,19
12/19/14,28,31,25
12/20/14,29.5,32,27
12/21/14,34.5,37,32
12/22/14,36.5,40,33
12/23/14,41.5,46,37
12/24/14,37.5,41,34
12/25/14,37.5,41,34
12/26/14,42.5,49,36
12/27/14,40,50,30
12/28/14,28,34,22
12/29/14,21,28,14
12/30/14,12,17,7
12/31/14,10,18,2
1/1/15,23,31,15
1/2/15,24.5,32,17
1/3/15,31,34,28
1/4/15,16,34,-2
1/5/15,-1.5,3,-6
1/6/15,6,11,1
1/7/15,0.5,6,-5
1/8/15,5,17,-7
1/9/15,4.5,9,0
1/10/15,9.5,22,-3
1/11/15,23.5,30,17
1/12/15,17.5,23,12
1/13/15,15.5,19,12
1/14/15,12,20,4
1/15/15,27.5,36,19
1/16/15,29,32,26
1/17/15,36.5,42,31
1/18/15,38.5,42,35
1/19/15,34,36,32
1/20/15,32.5,35,30
1/21/15,29,31,27
1/22/15,30,34,26
1/23/15,29.5,33,26
1/24/15,36.5,42,31
1/25/15,28,34,22
1/26/15,22.5,28,17
1/27/15,28,30,26
1/28/15,27,34,20
1/29/15,30,35,25
1/30/15,23,28,18
1/31/15,28,37,19
2/1/15,21,29,13
2/2/15,12,17,7
2/3/15,13.5,22,5
2/4/15,14,20,8
2/5/15,8.5,16,1
2/6/15,21,28,14
2/7/15,27.5,36,19
2/8/15,30,37,23
2/9/15,23.5,26,21
2/10/15,26,29,23
2/11/15,25.5,34,17
2/12/15,12,17,7
2/13/15,14.5,26,3
2/14/15,13,26,0
2/15/15,6,14,-2
2/16/15,15,18,12
2/17/15,13,18,8
2/18/15,2,8,-4
2/19/15,-2,5,-9
2/20/15,6.5,19,-6
2/21/15,23.5,28,19
2/22/15,12,23,1
2/23/15,3,11,-5
2/24/15,18.5,32,5
2/25/15,15,20,10
2/26/15,11,17,5
2/27/15,9,18,0
2/28/15,7,19,-5
3/1/15,20,28,12
3/2/15,22,28,16
3/3/15,29.5,34,25
3/4/15,20,31,9
3/5/15,9.5,16,3
3/6/15,14,28,0
3/7/15,33,46,20
3/8/15,37.5,45,30
3/9/15,39.5,50,29
3/10/15,43.5,55,32
3/11/15,41.5,50,33
3/12/15,39,49,29
3/13/15,49.5,65,34
3/14/15,45.5,57,34
3/15/15,44.5,60,29
3/16/15,54.5,71,38
3/17/15,39.5,45,34
3/18/15,41,50,32
3/19/15,37.5,42,33
3/20/15,42.5,55,30
3/21/15,36,44,28
3/22/15,30.5,33,28
3/23/15,29,33,25
3/24/15,29,36,22
3/25/15,38,43,33
3/26/15,32.5,39,26
3/27/15,23.5,29,18
3/28/15,26,34,18
3/29/15,35.5,46,25
3/30/15,46.5,58,35
3/31/15,44.5,51,38
4/1/15,47.5,62,33
4/2/15,58.5,66,51
4/3/15,40.5,53,28
4/4/15,40.5,58,23
4/5/15,41,47,35
4/6/15,39.5,47,32
4/7/15,39.5,43,36
4/8/15,37.5,39,36
4/9/15,45.5,54,37
4/10/15,47,56,38
4/11/15,50.5,63,38
4/12/15,53.5,68,39
4/13/15,59,66,52
4/14/15,51.5,62,41
4/15/15,45,54,36
4/16/15,48,55,41
4/17/15,61,76,46
4/18/15,49.5,58,41
4/19/15,48.5,55,42
4/20/15,46.5,50,43
4/21/15,40.5,44,37
4/22/15,39,44,34
4/23/15,41.5,51,32
4/24/15,39.5,49,30
4/25/15,40,42,38
4/26/15,42.5,50,35
4/27/15,45,51,39
4/28/15,45,52,38
4/29/15,46.5,56,37
4/30/15,43,46,40
5/1/15,50,61,39
5/2/15,63.5,76,51
5/3/15,69,80,58
5/4/15,59,68,50
5/5/15,48.5,53,44
5/6/15,52.5,60,45
5/7/15,63,81,45
5/8/15,71.5,80,63
5/9/15,54,63,45
5/10/15,44,47,41
5/11/15,57.5,70,45
5/12/15,48.5,54,43
5/13/15,43,49,37
5/14/15,48.5,57,40
5/15/15,61,75,47
5/16/15,56.5,66,47
5/17/15,62.5,78,47
5/18/15,62,75,49
5/19/15,44,51,37
5/20/15,43.5,50,37
5/21/15,58,72,44
5/22/15,50,57,43
5/23/15,59.5,74,45
5/24/15,59,67,51
5/25/15,66.5,79,54
5/26/15,68,76,60
5/27/15,65,72,58
5/28/15,69.5,80,59
5/29/15,69.5,80,59
5/30/15,56,71,41
5/31/15,47,53,41
6/1/15,48.5,56,41
6/2/15,52.5,64,41
6/3/15,57,67,47
6/4/15,69,82,56
6/5/15,57,64,50
6/6/15,55,63,47
6/7/15,67,82,52
6/8/15,71,82,60
6/9/15,74,87,61
6/10/15,72,87,57
6/11/15,57,63,51
6/12/15,55.5,59,52
6/13/15,61.5,69,54
6/14/15,67.5,79,56
6/15/15,71.5,81,62
6/16/15,60.5,67,54
6/17/15,59.5,68,51
6/18/15,68,84,52
6/19/15,56.5,63,50
6/20/15,63,75,51
6/21/15,75.5,85,66
6/22/15,73.5,82,65
6/23/15,69.5,79,60
6/24/15,70,80,60
6/25/15,64,70,58
6/26/15,60,65,55
6/27/15,64.5,73,56
6/28/15,63,74,52
6/29/15,67,73,61
6/30/15,63.5,74,53
7/1/15,57.5,64,51
7/2/15,57.5,64,51
7/3/15,63,74,52
7/4/15,70,80,60
7/5/15,72,82,62
7/6/15,73.5,85,62
7/7/15,63,72,54
7/8/15,57,63,51
7/9/15,65,72,58
7/10/15,67.5,78,57
7/11/15,70.5,78,63
7/12/15,70,77,63
7/13/15,76.5,88,65
7/14/15,69,78,60
7/15/15,63.5,70,57
7/16/15,64,70,58
7/17/15,78.5,91,66
7/18/15,76,83,69
7/19/15,75.5,82,69
7/20/15,74.5,82,67
7/21/15,72.5,81,64
7/22/15,70,80,60
7/23/15,74.5,83,66
7/24/15,75.5,85,66
7/25/15,75,85,65
7/26/15,70.5,80,61
7/27/15,74.5,85,64
7/28/15,76,86,66
7/29/15,79.5,87,72
7/30/15,77.5,88,67
7/31/15,76.5,85,68
8/1/15,75.5,85,66
8/2/15,79,93,65
8/3/15,73,81,65
8/4/15,70.5,80,61
8/5/15,67.5,73,62
8/6/15,68.5,76,61
8/7/15,72.5,79,66
8/8/15,69.5,74,65
8/9/15,70,76,64
8/10/15,72,80,64
8/11/15,69.5,76,63
8/12/15,67.5,75,60
8/13/15,76,85,67
8/14/15,80,93,67
8/15/15,76.5,87,66
8/16/15,81,89,73
8/17/15,79.5,90,69
8/18/15,73.5,79,68
8/19/15,68,74,62
8/20/15,63,70,56
8/21/15,69,83,55
8/22/15,71,79,63
8/23/15,67.5,75,60
8/24/15,62,69,55
8/25/15,60.5,64,57
8/26/15,60,65,55
8/27/15,63,73,53
8/28/15,65,74,56
8/29/15,60.5,64,57
8/30/15,67,72,62
8/31/15,70,80,60
9/1/15,78,90,66
9/2/15,81,89,73
9/3/15,75,86,64
9/4/15,70.5,77,64
9/5/15,76.5,88,65
9/6/15,81,90,72
9/7/15,80,86,74
9/8/15,72.5,78,67
9/9/15,64.5,72,57
9/10/15,64,72,56
9/11/15,59,64,54
9/12/15,55.5,63,48
9/13/15,61,71,51
9/14/15,66.5,81,52
9/15/15,74,84,64
9/16/15,70.5,83,58
9/17/15,74,85,63
9/18/15,66.5,72,61
9/19/15,62.5,70,55
9/20/15,59.5,69,50
9/21/15,60.5,70,51
9/22/15,65.5,79,52
9/23/15,65.5,76,55
9/24/15,64,70,58
9/25/15,64,69,59
9/26/15,64.5,70,59
9/27/15,64.5,70,59
9/28/15,72,80,64
9/29/15,60.5,67,54
9/30/15,55.5,59,52
10/1/15,54.5,58,51
10/2/15,54,57,51
10/3/15,51.5,54,49
10/4/15,53.5,57,50
10/5/15,58.5,61,56
10/6/15,61,68,54
10/7/15,56,62,50
10/8/15,62,76,48
10/9/15,52.5,60,45
10/10/15,55,65,45
10/11/15,67,79,55
10/12/15,63,74,52
10/13/15,54.5,61,48
10/14/15,52,62,42
10/15/15,56.5,66,47
10/16/15,44,52,36
10/17/15,42,51,33
10/18/15,43.5,54,33
10/19/15,59,73,45
10/20/15,65,73,57
10/21/15,64.5,73,56
10/22/15,54,60,48
10/23/15,55,60,50
10/24/15,56.5,66,47
10/25/15,52,62,42
10/26/15,48.5,59,38
10/27/15,53.5,57,50
10/28/15,47,56,38
10/29/15,41.5,46,37
10/30/15,46.5,54,39
10/31/15,48,51,45
11/1/15,54,62,46
11/2/15,61.5,72,51
11/3/15,61,73,49
11/4/15,60.5,69,52
11/5/15,64,71,57
11/6/15,53,64,42
11/7/15,42,50,34
11/8/15,42,53,31
11/9/15,41,54,28
11/10/15,41.5,54,29
11/11/15,49.5,58,41
11/12/15,47.5,53,42
11/13/15,38.5,43,34
11/14/15,41,54,28
11/15/15,55.5,63,48
11/16/15,53.5,60,47
11/17/15,52,56,48
11/18/15,53.5,60,47
11/19/15,41.5,47,36
11/20/15,35.5,40,31
11/21/15,26.5,33,20
11/22/15,21.5,27,16
11/23/15,34.5,42,27
11/24/15,33,42,24
11/25/15,44.5,51,38
11/26/15,49,58,40
11/27/15,35,40,30
11/28/15,31,37,25
11/29/15,30.5,39,22
11/30/15,40.5,43,38
12/1/15,38.5,43,34
12/2/15,33.5,36,31
12/3/15,34.5,37,32
12/4/15,41.5,50,33
12/5/15,38.5,47,30
12/6/15,36.5,42,31
12/7/15,36,40,32
12/8/15,41,45,37
12/9/15,45,51,39
12/10/15,49,57,41
12/11/15,42.5,47,38
12/12/15,43,44,42
12/13/15,51,60,42
12/14/15,49.5,55,44
12/15/15,40,44,36
12/16/15,43.5,52,35
12/17/15,31.5,36,27
12/18/15,26,29,23
12/19/15,22,29,15
12/20/15,37,50,24
12/21/15,41.5,46,37
12/22/15,37.5,40,35
12/23/15,49,58,40
12/24/15,38.5,41,36
12/25/15,33.5,38,29
12/26/15,37.5,40,35
12/27/15,35,37,33
12/28/15,31,34,28
12/29/15,31,35,27
12/30/15,29,31,27
12/31/15,25,29,21
1/1/16,23.5,28,19
1/2/16,27,33,21
1/3/16,26.5,29,24
1/4/16,22.5,29,16
1/5/16,22,31,13
1/6/16,28.5,35,22
1/7/16,35.5,39,32
1/8/16,38,39,37
1/9/16,29.5,37,22
1/10/16,11.5,22,1
1/11/16,5.5,14,-3
1/12/16,7.5,12,3
1/13/16,9,19,-1
1/14/16,25.5,36,15
1/15/16,34,39,29
1/16/16,16.5,29,4
1/17/16,0,4,-4
1/18/16,1,7,-5
1/19/16,7,15,-1
1/20/16,18,23,13
1/21/16,21,26,16
1/22/16,25.5,28,23
1/23/16,27.5,31,24
1/24/16,25.5,28,23
1/25/16,31,35,27
1/26/16,29.5,35,24
1/27/16,28,34,22
1/28/16,32.5,39,26
1/29/16,24,32,16
1/30/16,38.5,46,31
1/31/16,36.5,39,34
2/1/16,36.5,44,29
2/2/16,33,37,29
2/3/16,31,36,26
2/4/16,26.5,31,22
2/5/16,28.5,32,25
2/6/16,30.5,35,26
2/7/16,38,45,31
2/8/16,26.5,34,19
2/9/16,16,19,13
2/10/16,12.5,16,9
2/11/16,12,19,5
2/12/16,11.5,20,3
2/13/16,6.5,13,0
2/14/16,12,22,2
2/15/16,23,28,18
2/16/16,28,32,24
2/17/16,22.5,32,13
2/18/16,23.5,38,9
2/19/16,47,57,37
2/20/16,45.5,53,38
2/21/16,32.5,38,27
2/22/16,32.5,36,29
2/23/16,36,41,31
2/24/16,34,36,32
2/25/16,32.5,35,30
2/26/16,29.5,34,25
2/27/16,42.5,57,28
2/28/16,47.5,61,34
2/29/16,36,47,25
3/1/16,20.5,25,16
3/2/16,20,29,11
3/3/16,26.5,31,22
3/4/16,24,37,11
3/5/16,33,36,30
3/6/16,39.5,48,31
3/7/16,56,66,46
3/8/16,63,71,55
3/9/16,55.5,67,44
3/10/16,41.5,48,35
3/11/16,37,44,30
3/12/16,48,60,36
3/13/16,44.5,48,41
3/14/16,44.5,52,37
3/15/16,42,49,35
3/16/16,50,55,45
3/17/16,46.5,54,39
3/18/16,37,41,33
3/19/16,33.5,37,30
3/20/16,34.5,41,28
3/21/16,38,47,29
3/22/16,46.5,57,36
3/23/16,34.5,37,32
3/24/16,31.5,35,28
3/25/16,32.5,41,24
3/26/16,37,46,28
3/27/16,43,52,34
3/28/16,43,51,35
3/29/16,40,51,29
3/30/16,51.5,61,42
3/31/16,48.5,59,38
4/1/16,44,52,36
4/2/16,32.5,38,27
4/3/16,48.5,70,27
4/4/16,30,34,26
4/5/16,32,41,23
4/6/16,42.5,48,37
4/7/16,37,40,34
4/8/16,32,40,24
4/9/16,27,33,21
4/10/16,41,49,33
4/11/16,42,49,35
4/12/16,35.5,41,30
4/13/16,41,46,36
4/14/16,45,53,37
4/15/16,46,55,37
4/16/16,51,63,39
4/17/16,54.5,67,42
4/18/16,60,78,42
4/19/16,44,48,40
4/20/16,50,57,43
4/21/16,58,66,50
4/22/16,47.5,56,39
4/23/16,44,50,38
4/24/16,49,61,37
4/25/16,62.5,78,47
4/26/16,44.5,49,40
4/27/16,43.5,48,39
4/28/16,42,46,38
4/29/16,43,47,39
4/30/16,43,46,40
5/1/16,44,47,41
5/2/16,48,57,39
5/3/16,54,69,39
5/4/16,44.5,49,40
5/5/16,47.5,55,40
5/6/16,65,85,45
5/7/16,60.5,75,46
5/8/16,54.5,70,39
5/9/16,50.5,58,43
5/10/16,47.5,49,46
5/11/16,52.5,59,46
5/12/16,60,72,48
5/13/16,54,64,44
5/14/16,43,46,40
5/15/16,46,56,36
5/16/16,58.5,71,46
5/17/16,48.5,54,43
5/18/16,51,57,45
5/19/16,55,68,42
5/20/16,53.5,63,44
5/21/16,61.5,71,52
5/22/16,62.5,71,54
5/23/16,62.5,76,49
5/24/16,72,85,59
5/25/16,65,77,53
5/26/16,73,85,61
5/27/16,72,79,65
5/28/16,73,82,64
5/29/16,71.5,80,63
5/30/16,70.5,81,60
5/31/16,66.5,73,60
6/1/16,71.5,81,62
6/2/16,68,76,60
6/3/16,66.5,77,56
6/4/16,67,76,58
6/5/16,70,80,60
6/6/16,67,77,57
6/7/16,58,63,53
6/8/16,55,61,49
6/9/16,63,75,51
6/10/16,76,91,61
6/11/16,76.5,91,62
6/12/16,60.5,65,56
6/13/16,62.5,71,54
6/14/16,65.5,71,60
6/15/16,72,79,65
6/16/16,66.5,72,61
6/17/16,69.5,79,60
6/18/16,70,82,58
6/19/16,77,89,65
6/20/16,80.5,91,70
6/21/16,73,82,64
6/22/16,72,80,64
6/23/16,66,70,62
6/24/16,70,79,61
6/25/16,73.5,85,62
6/26/16,79.5,89,70
6/27/16,73,84,62
6/28/16,61.5,66,57
6/29/16,64,75,53
6/30/16,70.5,81,60
7/1/16,63.5,68,59
7/2/16,67,75,59
7/3/16,64,73,55
7/4/16,66,72,60
7/5/16,77.5,86,69
7/6/16,77.5,87,68
7/7/16,72.5,79,66
7/8/16,75.5,86,65
7/9/16,70,77,63
7/10/16,69,79,59
7/11/16,80,90,70
7/12/16,81,88,74
7/13/16,80.5,90,71
7/14/16,77,86,68
7/15/16,65,70,60
7/16/16,66.5,76,57
7/17/16,75,86,64
7/18/16,77.5,87,68
7/19/16,74.5,82,67
7/20/16,80.5,93,68
7/21/16,81.5,93,70
7/22/16,81,90,72
7/23/16,80.5,89,72
7/24/16,83,94,72
7/25/16,81,89,73
7/26/16,77,86,68
7/27/16,79.5,89,70
7/28/16,72.5,78,67
7/29/16,71.5,76,67
7/30/16,71.5,76,67
7/31/16,72,78,66
8/1/16,73.5,81,66
8/2/16,75,84,66
8/3/16,80,88,72
8/4/16,82,92,72
8/5/16,79,86,72
8/6/16,74,82,66
8/7/16,72,80,64
8/8/16,72.5,81,64
8/9/16,79,87,71
8/10/16,79.5,88,71
8/11/16,83.5,94,73
8/12/16,77.5,81,74
8/13/16,79,86,72
8/14/16,77.5,87,68
8/15/16,74,81,67
8/16/16,78.5,85,72
8/17/16,78,88,68
8/18/16,78.5,87,70
8/19/16,78.5,88,69
8/20/16,72,80,64
8/21/16,67.5,75,60
8/22/16,68,80,56
8/23/16,74,85,63
8/24/16,79,87,71
8/25/16,77,84,70
8/26/16,70.5,76,65
8/27/16,72,81,63
8/28/16,70.5,76,65
8/29/16,75,83,67
8/30/16,77,85,69
8/31/16,69,74,64
9/1/16,68,72,64
9/2/16,67,72,62
9/3/16,66,74,58
9/4/16,67.5,78,57
9/5/16,78,88,68
9/6/16,82.5,94,71
9/7/16,76.5,82,71
9/8/16,75.5,85,66
9/9/16,70,79,61
9/10/16,67,74,60
9/11/16,65,76,54
9/12/16,69,79,59
9/13/16,69.5,75,64
9/14/16,66.5,72,61
9/15/16,66.5,74,59
9/16/16,76.5,85,68
9/17/16,73,83,63
9/18/16,68,78,58
9/19/16,75.5,87,64
9/20/16,68.5,79,58
9/21/16,69,74,64
9/22/16,71.5,80,63
9/23/16,67,71,63
9/24/16,66.5,69,64
9/25/16,69.5,75,64
9/26/16,61.5,68,55
